question,link,title,answer
WHO OWNS A Famosa?,https://prezi.com/7kujxg02kmam/afamosa-golf-resort/,A'FAMOSA GOLF RESORT by muhammad sufi zulkifli - Prezi,"Dato' Alex Chir Nguan. 
 The owner of A'Famosa Resort is Dato' Alex Chir Nguan."
Which Portuguese general built the A Famosa?,https://www.wonderfulmalaysia.com/attractions/porta-de-santiago-famosa-fort.htm,Porta de Santiago (A' Famosa Fort) | Attractions - Wonderful Malaysia, A'Famosa means 'the famous' in Portuguese. The fort was built by the Portuguese when they arrived in Melaka in the year 1511 under the leadership of Alfonso de Alburquerque. Alfonso ordered the construction of this fort to strengthen his hold of the newly acquired land.
What do people do at A Famosa?,https://www.afamosa.com/safari-wonderland,Safari-wonderland | Malacca - A'Famosa Resort,"Ride on horses, camels and elephants. 
 Ride on horses, camels and elephants. 'Walk Through' among pretty flamingos, amusing raccoons and the dino ancestors, the emu and the ostriches. Feel the thrills of an animal safari; ride on our secure truck – make the giraffes peer and tigers glare in the 'Safari Adventure Ride'."
When was stadthuys built?,https://www.afar.com/places/stadthuys-melaka,Stadthuys - AFAR Magazine,"1650. 
 Just behind the square's clock tower, the Stadthuys was built in 1650 as Malacca's city hall; it continued to serve this purpose even after the British took control of Malacca. It's believed to be the oldest Dutch building in Southeast Asia."
What landmark is Porta de Santiago?,https://www.tripadvisor.com.ph/ShowUserReviews-g306997-d455168-r146682054-A_Famosa_Fort-Melaka_Central_Melaka_District_Melaka_State.html,Porta De Santiago - The Old Gateway - A Famosa Fort - Tripadvisor, This old gate was built by the Portuguese in 1512 and was one of the 4 main gates to the Portuguese fortress. It was restored by the Dutch who carved the Dutch VOC crest and the inscription ANNO 1670 over the arch portals of the gate.
What is the famous sweet of Kota?,https://threebestrated.in/sweet-shops-in-kota-rj,"3 Best Sweet Shops in Kota, RJ - ThreeBestRated","Kota Kachori, Sabudana khichdi and sweets, Namkeens. 
 Famous for Kota Kachori, Sabudana khichdi and sweets, Namkeens."
Which area is best in Kota?,https://www.99acres.com/localities-in-kota-lrffid,List of Top Localities in Kota - 99acres.com,"Kunhari, Borkhera, Ridhi Sidhi Nagar, Swami Vivekananda Nagar, Rajeev Gandhi Nagar. 
 Kunhari, Borkhera, Ridhi Sidhi Nagar, Swami Vivekananda Nagar, Rajeev Gandhi Nagar are the most popular areas in Kota to buy a home."
What is the most famous dish in Kota?,https://www.kotaonline.in/city-guide/food-in-kota,"Food in Kota, Rajasthani Delicacies in Kota, Cuisines in Kota","Bajre ki khichdi, Besan ki chakki, Dal bati churma, Gatte ki sabji, Papad ki sabji, Sev tamatar, Mirchi vada, Mawa kachori, Mohan maas, Laal maas, Bajri ki raab, Moong dal ka halwa and Rabdi. 
 Special Delicacies of Kota Some of the very popular dishes include Bajre ki khichdi, Besan ki chakki, Dal bati churma, Gatte ki sabji, Papad ki sabji, Sev tamatar, Mirchi vada, Mawa kachori, Mohan maas, Laal maas, Bajri ki raab, Moong dal ka halwa and Rabdi."
What is famous in Kota for shopping?,https://kotacityblog.com/markets-of-kota/,5 Markets of Kota to unleash the shopaholic in you! Check these out,"So for all our shopaholic readers, here is a list of popular and best markets of the Kota.. 
 1) BHAIRO GALI, RAMPURA BAZAAR, 2) PALIKA BAZAR, 3) NEW CLOTH MARKET, 4) INDRA MARKET, 5) Gumanpura ..."
What is the importance of Kota?,"https://en.wikipedia.org/wiki/Kota,_Rajasthan","Kota, Rajasthan - Wikipedia","A major coaching hub of the country for competitive examination preparations. 
 Kota is a major coaching hub of the country for competitive examination preparations and has a number of engineering and medical coaching institutes."
What is special in Kuantan?,https://traveltriangle.com/blog/things-to-do-in-kuantan-malaysia-bdp/,10 Best Things To Do In Kuantan Malaysia One Must Definitely Try In ...,"Mangrove swamps. 
 Kuantan is a place which is quite famous for the mangrove swamps which is also one of the landmarks to take a sight of the firefly sightings. People come from far and wide to take a glimpse of these creatures which is actually a 1-hour 30-minute tour which starts in the evening."
Which festival is celebrated in Kota?,https://www.kotaonline.in/city-guide/festivals-in-kota,"Festivals Celebrated in Kota, Dussehra in Kota, Chambal Fair in ..."," Dussehra Festival is one of the most popular festivals to be celebrated in Kota. Like in other parts of the country, Dusshera is celebrated on the 10th day of the Navaratri. But the festivities tend to start a lot earlier and almost from the 5-6 day of the Navaratri, houses are lit up."
Why is Christ Church Malacca popular?,"https://en.wikipedia.org/wiki/Christ_Church,_Malacca#:~:text=Christ%20Church%2C%20Malacca%20is%20an,Anglican%20Diocese%20of%20West%20Malaysia.","Christ Church, Malacca - Wikipedia"," Christ Church, Malacca is an 18th-century Anglican church in the city of Malacca City, Malaysia. It is the oldest functioning Protestant church in Malaysia and is within the jurisdiction of the Lower Central Archdeaconry of the Anglican Diocese of West Malaysia."
When was Christ Church Malacca built?,https://www.orientalarchitecture.com/sid/498/malaysia/melaka/christ-church,"Christ Church, Melaka, Malaysia - Asian Historical Architecture","1741 onward. 
 Christ Church (built 1741 onward) Christ Church is the oldest functioning Protestant church in Malaysia. Construction began in 1741 on the centennial of the Dutch occupation, and it was completed in 1753. Before this date the Dutch used the old Portuguese church atop St. Paul's hill for their religious services."
Who built Christ Church Melaka?,https://aromasian.com/the-historical-city-of-malacca-vi-christ-church-malacca/,The Historical City of Malacca (VI) – Christ Church Malacca,"The Dutch. 
 Christ Church Malacca was built by the Dutch when they took possession of Malacca from the Portuguese, it's one of Malacca's most defining structures. Situated along Jalan Gereja (also known as Church Street) it is an instantly recognizable brick-red building with a huge white cross and bell at the top."
Who brought Christianity to Malaysia?,https://theculturetrip.com/asia/malaysia/articles/a-guide-to-religion-in-malaysia/,A Guide to Religion in Malaysia - Culture Trip,"Arab, Persian and Turkish traders. 
 Christianity. Christianity arrived in Malaysia in the 7th century by Arab, Persian and Turkish traders. Later, the Portuguese introduced Catholicism in 1511, while the Dutch brought Protestantism in the late 17th century. British missionaries spread Christianity in Sabah and Sarawak 200 years later."
How did Malacca became wealthy?,https://www.worldhistory.org/Portuguese_Malacca/,Portuguese Malacca - World History Encyclopedia,"Islam reached the region, and the ruler of Malacca, who had himself converted, encouraged Muslim traders. 
 Islam reached the region, and the ruler of Malacca, who had himself converted, encouraged Muslim traders. Consequently, Malacca became the most important trade centre in the region where such in-demand commodities as gold, spices, silk, and tea passed through."
Which religion came dominate Melaka?,https://www.britannica.com/place/Malaysia/The-advent-of-Islam,Malaysia - The advent of Islam | Britannica,"Islam. 
 The arrival of Islam coincided with the rise of the great port of Malacca (now Melaka), established along the strait on Malaya's southwest coast by Sumatran exiles about 1400."
Who spread Catholic in Malacca?,https://en.wikipedia.org/wiki/Catholic_Church_in_Malaysia,Catholic Church in Malaysia - Wikipedia,"St Francis Xavier. 
 The year 1511 was marked with the arrival of Portuguese led by Admiral Afonso de Albuquerque and the first catholic chaplains. The Portuguese captured Malacca for its well-known spice trade. Between 1545 and 1552, St Francis Xavier preached in Malacca. By 1557, Malacca was raised to a suffragan see (deputy diocese)."
Who owned Malacca?,https://en.wikipedia.org/wiki/Portuguese_Malacca,Portuguese Malacca - Wikipedia,"Portuguese East Indies. 
 Portuguese control of Malacca, a city on the Malay Peninsula, refers to the 130 year period (1511–1641) when it was a possession of the Portuguese East Indies."
What is the oldest church in Kosovo?,https://en.wikipedia.org/wiki/Gra%C4%8Danica_Monastery,Gračanica Monastery - Wikipedia,"Gračanica Monastery. 
 The Gračanica Monastery (Serbian: Манастир Грачаница, romanized: Manastir Gračanica, pronounced [ɡratʃǎnitsa]; Albanian: Manastiri i Graçanicës) is a Serbian Orthodox monastery located in Kosovo. It was built by the Serbian king Stefan Milutin in 1321 on the ruins of a 6th-century basilica."
Who founded Malacca in 1400?,https://www.britannica.com/place/sultanate-of-Malacca,"sultanate of Malacca | Malay dynasty, southeast Asia | Britannica","Paramesvara. 
 The founder and first ruler of Malacca, Paramesvara (d. 1424, Malacca), a Sumatran prince who had fled his native Palembang under Javanese attack, established himself briefly in Tumasik (now Singapore) and settled in Malacca in the last years of the 14th century or early in the 15th."
When was the Malacca kingdom founded?,https://en.wikipedia.org/wiki/Malacca_Sultanate,Malacca Sultanate - Wikipedia,"C.. 
 The founding of Malacca is generally taken to be c. 1400. The region was dominated by the Srivijaya empire centered on Palembang in Sumatra until it was weakened by the Chola Empire in the 11th century."
Why is Church of the Immaculate Conception popular?,"https://www.nationalshrine.org/blog/why-do-we-celebrate-the-immaculate-conception/#:~:text=The%20doctrine%20of%20the%20Immaculate%20Conception%20also%20encourages%20us%20to,we%20fail%20and%20commit%20sin.",Why Do We Celebrate the Immaculate Conception?,"Encourages us to do our best to remain free from sin. 
 The doctrine of the Immaculate Conception also encourages us to do our best to remain free from sin. Although we are all born with original sin and through the grace of Baptism are freed from sin, in the course of our life, because of human weakness, we fail and commit sin."
Why is the Immaculate Conception important to the church?,https://www.geneseo.edu/~walker/Bible%20for%20HUM/ImmaculateMaryRC.htm,Immaculate Conception of Mary,"In order for her to give birth later to Jesus without infecting him with original sin. 
 ~ Mary's immaculate conception was necessary in order for her to give birth later to Jesus without infecting him with original sin. ~ Partly based on her immaculate conception, Mary is considered the mother of the Roman Catholic church and of all its members."
Why don t Protestants believe in Immaculate Conception?,https://www.dw.com/en/the-main-differences-between-catholics-and-protestants/a-37888597,The main differences between Catholics and Protestants - DW,"There are few biblical references to support the Catholic Marian dogmas. 
 The Roman Catholic Church reveres Mary, the mother of Jesus, as ""Queen of Heaven."" However, there are few biblical references to support the Catholic Marian dogmas — which include the Immaculate Conception, her perpetual virginity and her Assumption into heaven. This is why they are rejected by Protestants."
What does the Church teach about the immaculate conception?,https://www.catholic.com/tract/immaculate-conception-and-assumption,Immaculate Conception and Assumption - Catholic Answers,"Mary, whose conception was brought about the normal way, was conceived without original sin or its stain. 
 The Immaculate Conception is a Catholic dogma that states that Mary, whose conception was brought about the normal way, was conceived without original sin or its stain. That's what “immaculate” means: without stain."
Who believes in the Immaculate Conception?,https://www.bbc.co.uk/religion/religions/christianity/beliefs/immaculateconception.shtml,Religions - Christianity: Immaculate Conception - BBC,"Catholics. 
 Mary's sinless conception is the reason why Catholics refer to Mary as ""full of grace"". The Feast of the Immaculate Conception is celebrated by Catholics on December 8th each year."
What religion doesn't believe in the Immaculate Conception?,https://en.wikipedia.org/wiki/Immaculate_Conception,Immaculate Conception - Wikipedia,"Protestants. 
 Protestants rejected the doctrine of the Immaculate Conception as un-scriptural, though some Anglicans accept it as a pious devotion."
Do Catholics have to believe in the Immaculate Conception?,https://www.catholiceducation.org/en/religion-and-philosophy/apologetics/why-catholics-believe-in-the-immaculate-conception.html,Why Catholics Believe in the Immaculate Conception,"Catholics believe that the Immaculate Conception has implied evidence for it within scripture. 
 As shown above, Catholics believe that the Immaculate Conception has implied evidence for it within scripture. Add this to the large amount of early Church writings on the topic, and it is no wonder why Catholics continue to believe in it. But if Mary didn't sin, doesn't that mean she didn't need Christ as her savior?"
Does the Bible support Immaculate Conception?,https://udayton.edu/imri/mary/i/immaculate-conception-scripture.php,About Mary I Immaculate Conception: Scripture - University of Dayton,"Sacred Scripture does not explicitly proclaim the doctrine of Mary's Immaculate Conception. 
 A: Sacred Scripture does not explicitly proclaim the doctrine of Mary's Immaculate Conception (i.e. freedom from original sin from the very start of her life). The Catholic Church reflected on this question for centuries, considering biblical texts which seemed related to the topic, at least implicitly."
Do Muslims believe in the Immaculate Conception of Mary?,https://en.wikipedia.org/wiki/Mary_in_Islam,Mary in Islam - Wikipedia,"The Quranic account of Mary's birth does not affirm an Immaculate Conception for Mary. 
 The Quranic account of Mary's birth does not affirm an Immaculate Conception for Mary as Islam does not accept the doctrine of original sin, or an inherited fault in humans, as it is found in Christianity."
Which religion does not believe in the virgin birth?,https://en.wikipedia.org/wiki/Denial_of_the_virgin_birth_of_Jesus,Denial of the virgin birth of Jesus - Wikipedia,"The Church of Jesus Christ of Latter Day Saints (Strangite). 
 Sects and denominations The Church of Jesus Christ of Latter Day Saints (Strangite), founded by James Jesse Strang rejects the virgin birth and believes that Jesus' father was Joseph, husband of Mary."
Do Catholics believe that Mary is sinless?,https://en.wikipedia.org/wiki/Sinlessness_of_Mary,Sinlessness of Mary - Wikipedia,"The encyclical Mystici corporis Christi from Pope Pius XII (1943) holds that Mary was also sinless personally, ""free from all sin, original or personal"". 
 The encyclical Mystici corporis Christi from Pope Pius XII (1943) holds that Mary was also sinless personally, ""free from all sin, original or personal"". The Catechism of the Catholic Church teaches that by the grace of God ""Mary remained free of every personal sin her whole life long."""
Why do Catholics believe Mary is holy?,https://en.wikipedia.org/wiki/Catholic_Mariology,Catholic Mariology - Wikipedia,"She was conceived and born without sin. 
 According to the Immaculate Conception taught by the Catholic Church, she was conceived and born without sin, hence Mary is seen as having a singular dignity above the saints, receiving a higher level of veneration than all angelic spirits and blessed souls in heaven."
Why does the Immaculate Conception matter to us?,https://www.nationalshrine.org/blog/why-do-we-celebrate-the-immaculate-conception/,Why Do We Celebrate the Immaculate Conception?,"Encourages us to do our best to remain free from sin. 
 The doctrine of the Immaculate Conception also encourages us to do our best to remain free from sin. Although we are all born with original sin and through the grace of Baptism are freed from sin, in the course of our life, because of human weakness, we fail and commit sin."
How do you honor the Immaculate Conception?,https://aleteia.org/2020/12/01/8-ways-to-honor-the-immaculate-conception-this-december/,8 Ways to honor the Immaculate Conception this December - Aleteia,"8 Ways to honor the Immaculate Conception this December. 
 2Clean and decorate cheerfully in honor of Mary, 3Clean up your soul, mind, and heart, 4Seek great art and music to study the symbols of the Immaculate Conception, 5Conceive of a lovely idea in honor of and dedicated to Our Lady, 6Consecrate yourself to Mary! ..."
What can we learn from the Immaculate Heart of Mary?,https://www.ewtn.com/catholicism/seasons-and-feast-days/immaculate-heart-of-mary-14358,Immaculate Heart of Mary | EWTN,"To love Christ, her Son and the Son of God. 
 St. John Paul II said, “From Mary we learn to love Christ, her Son and the Son of God…. Learn from her to be always faithful, to trust that God's Word to you will be fulfilled, and that nothing is impossible with God.” When we honor the Immaculate Heart, we give ultimate honor to Jesus."
Does the Orthodox Church believe in the Immaculate Conception of Mary?,https://orthodoxwiki.org/Immaculate_Conception,Immaculate Conception - OrthodoxWiki,"The Orthodox church does not accept the Catholic dogma of 1854. 
 ""The Orthodox church does not accept the Catholic dogma of 1854 -- the dogma of the immaculate conception of the Virgin, in the sense that she was exempt at birth from original sin."
Why is Stadthuys popular?,"https://en.wikipedia.org/wiki/Stadthuys#:~:text=The%20Stadhuys%20is%20known%20for,Dutch%20Governor%20and%20Deputy%20Governor.&text=The%20Stadthuys%20is%20known%20for%20its%20red%20exterior%20and%20nearby%20red%20clocktower.",Stadthuys - Wikipedia,"Known for its red exterior and nearby red clocktower. 
 The Stadhuys is known for its red exterior and nearby red clocktower. It was built by the Dutch in 1650 as the office of the Dutch Governor and Deputy Governor. The Stadthuys is known for its red exterior and nearby red clocktower."
Why is Melaka Stadthuys so popular?,https://www.holidify.com/places/melaka/stadthuys-sightseeing-1255529.html,Stadthuys - The City Hall of Melaka - Holidify,"One of the oldest buildings of the area in the Dutch colonial architecture. 
 It now houses the History and Ethnography Museum showcasing Malaccan culture and traditions. The word 'Stadthuys' means 'city hall', and hence, the building is still considered as a very famous city hall by the locals and the public, being one of the oldest buildings of the area in the Dutch colonial architecture."
Why did the Dutch build Stadthuys?,https://www.afar.com/places/stadthuys-melaka,Stadthuys - AFAR Magazine,"Malacca's city hall. 
 Just behind the square's clock tower, the Stadthuys was built in 1650 as Malacca's city hall; it continued to serve this purpose even after the British took control of Malacca. It's believed to be the oldest Dutch building in Southeast Asia."
Who built the stadthuys?,https://www.thrillophilia.com/attractions/stadthuys,"Stadthuys, Malacca: How To Reach, Best Time & Tips"," Built sometime around 1650 by the Dutch, Stadthuys is believed to be the oldest remaining Dutch building in Asia."
Why is Malacca red?,https://lynnlipinski.me/malaccas-red-paint-mystery,Malacca's Red Paint Mystery - Lynn Lipinski,"Locals spat so much red betel juice onto the walls -- out of disrespect for the Dutch -- that the British eventually just painted them red to avoid additional maintenance costs. 
 Why? No one is quite sure. The most colorful theory is that locals spat so much red betel juice onto the walls -- out of disrespect for the Dutch -- that the British eventually just painted them red to avoid additional maintenance costs. But there is scant evidence for this in historic documents."
What attracts people to Melaka today?,https://www.hotels.com/go/malaysia/best-things-to-do-malacca,9 Best Things to Do in Malacca - Hotels.com,"What is Malacca Most Famous For?. 
 A Famosa Fort, Jonker Street, Christ Church Melaka, The Stadthuys, St Paul's Church, Melaka Sultanate Palace, Menara Taming Sari, Baba & Nyonya Heritage Museum ..."
Why is Melaka so famous?,https://en.wikipedia.org/wiki/Malacca,Malacca - Wikipedia,"For its unique history. 
 Malacca is noted for its unique history and it is one of the major tourist destinations in Malaysia. With a highly strategic state position for international trade routes, Malacca was once a well-known international trade centre in the East."
Why are Dutch houses crooked?,https://thetravelbunny.com/canal-leaning-houses-amsterdam/,The leaning Houses of Amsterdam and why they're on the tilt,"To help prevent items from colliding with the building façade on their way up. 
 The houses were built with a forward incline to help prevent items from colliding with the building façade on their way up. So now you know why there are leaning houses in Amsterdam and why they have hooks."
Why did Japan allow the Dutch?,https://www.jstage.jst.go.jp/article/tja/72/Special_Issue/72_139/_pdf/-char/ja,Japanese-Dutch Relations in the Tokugawa Period - J-Stage,"In order to increase Japan's trading partners outside of Portuguese ships. 
 In order to increase Japan's trading partners outside of Portuguese ships, the Tokugawa authorities allowed contact to be made with Dutch and British ships in Asia to give them permission to come to Japan. In the Netherlands, there were exceedingly numerous companies in Asian trade."
Why were the Dutch so successful in trading?,https://eh.net/encyclopedia/the-dutch-economy-in-the-golden-age-16th-17th-centuries/,The Dutch Economy in the Golden Age (16th – 17th Centuries) - EH.net,"Taking advantage of a favorable agricultural base. 
 Taking advantage of a favorable agricultural base, the Dutch achieved success in the fishing industry and the Baltic and North Sea carrying trade during the fifteenth and sixteenth centuries before establishing a far-flung maritime empire in the seventeenth century."
What is inside stadthuys?,https://www.thepoortraveler.net/2012/06/stadthuys-town-hall-malacca-malaysia/,"THE STADTHUYS TOWN HALL: Museum of History, Ethnography ...","Significant artifacts about the history of the city. 
 Today, the Stadthuys houses the Museum of History and Ethnography. Inside, significant artifacts about the history of the city are on display."
When was the Stadthuys built?,https://en.wikipedia.org/wiki/Stadthuys,Stadthuys - Wikipedia,"1650. 
 The Stadhuys is known for its red exterior and nearby red clocktower. It was built by the Dutch in 1650 as the office of the Dutch Governor and Deputy Governor."
How did Malacca lose to Portuguese?,https://en.wikipedia.org/wiki/Portuguese_Malacca,Portuguese Malacca - Wikipedia,"After 40 days of fighting. 
 The Viceroy made a number of demands—one of which was for permission to build a fortress as a Portuguese trading post near the city. The sultan refused all the demands. Conflict was unavoidable, and after 40 days of fighting, Malacca fell to the Portuguese on 24 August."
Why was Melaka a popular trading state?,https://www.worldhistory.org/Portuguese_Malacca/,Portuguese Malacca - World History Encyclopedia,"Its geographic location between the Indian Ocean and the South China Sea permitted it to filter trade between India and China. 
 Its geographic location between the Indian Ocean and the South China Sea permitted it to filter trade between India and China. Traders sailed between the Malay peninsula and the island of Sumatra through the narrow Malacca Straits."
Why was Malacca a preferred port of trade?,https://www.britannica.com/place/Melaka-Malaysia,Melaka | Malaysia - Encyclopedia Britannica,"To replenish their food supplies and obtain fresh water from the hill springs. 
 The port became a major stopping place for traders to replenish their food supplies and obtain fresh water from the hill springs."
Why do people like Melaka?,https://www.laholidays.my/the-reasons-why-you-should-visit-melaka-malaysia/,The Reasons Why You Should Visit Melaka Malaysia - LA Holidays,"Stunning spots, delicious foods, cool music, and rich history. 
 Melaka has a lot of attractions for the tourist and the travelers. You can enjoy the stunning spots, delicious foods, cool music, and rich history by visiting Melaka from Singapore by bus, which is the safest and the most comfortable mode of journey."
Why Malacca is tourist attraction?,https://www.sgmytaxi.com/attractions-malacca/,18 Malacca Attractions You Probably Didn't Know About (Revealed),"A rich cultural heritage, subsequent to the colonial rule of Portuguese, Dutch and British. 
 Malacca is a famous tourist destination with a rich cultural heritage, subsequent to the colonial rule of Portuguese, Dutch and British. Traditional culture is carried on by the Baba & Nyonya who are descendants of the Chinese delegates of Ming Dynasty where they emigrated from China and settled here."
Why is Sultan Abdul Samad Building popular?,"https://www.malaysia.travel/explore/sultan-abdul-samad-building#:~:text=Today%2C%20the%20Sultan%20Abdul%20Samad,background%20for%20your%20holiday%20photos.",Sultan Abdul Samad Building - Malaysia.Travel,"With its unique design that reflects the historical heritage of Malaysia, it serves as the perfect background for your holiday photos. 
 Today, the Sultan Abdul Samad Building is a popular tourist spot. With its unique design that reflects the historical heritage of Malaysia, it serves as the perfect background for your holiday photos."
What is the Sultan Abdul Samad building used for nowadays?,https://en.wikipedia.org/wiki/Sultan_Abdul_Samad_Building,Sultan Abdul Samad Building - Wikipedia,"Houses both the offices of the Ministry of Communications and Multimedia and the Ministry of Tourism and Culture of Malaysia. 
 The building houses both the offices of the Ministry of Communications and Multimedia and the Ministry of Tourism and Culture of Malaysia (Malay: Kementerian Komunikasi dan Multimedia, Kementerian Pelancongan dan Kebudayaan Malaysia)."
What is the oldest building in Malaysia?,https://www.holidify.com/collections/historical-places-in-malaysia,11 Historical Places in Malaysia | Holidify," 1. Melaka Sultanate Palace Museum, Melaka. Melaka Sultanate Palace is located in Melaka City and is a tribute to the Melaka Sultanate. It lies at the foot of St."
When was Merdeka Square built?,https://www.sunwayhotels.com/sunway-pyramid/things-to-do/merdeka-square,MERDEKA SQUARE | Kuala Lumpur Attractions - Sunway Hotel,"1892. 
 The land was originally named Parade Ground. In 1892, the Acting British Resident, Ernest Birch, decided to smooth the ground so it could be used for cricket and other sports. Merdeka Square is maintained by the Kuala Lumpur City Hall until this day."
What was the 1st building built?,https://dozr.com/blog/5-oldest-buildings-around-the-world,5 Oldest Buildings from Around the World | DOZR,"Göbekli Tepe. 
 Göbekli Tepe. Göbekli Tepe is an archaeological site of a temple in Southeastern Turkey and has been dated back to 9500 - 8000 BCE. This date was discovered by carbon dating old tools found during excavations. This building is in fact the oldest structure on earth that we have found to date."
What is the oldest name of Malaysia?,https://www.nationsonline.org/oneworld/malaysia.htm,Malaysia - A Country Profile - Nations Online Project," The Federation of Malaya became an independent country on 31 August 1957. On 16 September 1963, the federation was enlarged by the accession of Singapore, Sabah (formerly British North Borneo) and Sarawak. The name ""Malaysia"" was adopted from that date."
What is the famous architecture in Malaysia?,https://www.malaysia.travel/explore/famous-architectural-landmarks-in-malaysia,Famous Architectural Landmarks In Malaysia,"Petronas Twin Towers. 
 A symbol of modern urbanisation in Kuala Lumpur, the Petronas Twin Towers stand as the most recognisable landmark in Malaysia. Despite being the only twin tower in the world, these 88-storey towers hold the title for 12th tallest skyscrapers in the world."
What does Merdeka stand for?,https://en.wikipedia.org/wiki/Merdeka,Merdeka - Wikipedia,"""independent"" or ""free"". 
 Merdeka' that is a term in Indonesian and Malay language which means ""independent"" or ""free"", It is derived from the Sanskrit maharddhika (महर्द्धिक) meaning ""rich, prosperous, and powerful""."
Why Hari Merdeka is important?,https://malaysia.news.yahoo.com/merdeka-day-vs-malaysia-day-000053370.html,Why Malaysians celebrate a 'second National Day' - Yahoo News Malaysia,"Commemorates Malaya's 1957 declaration of independence from the British. 
 And so, Merdeka Day commemorates Malaya's 1957 declaration of independence from the British. A few years later, on 16 September, 1963, Singapore, North Borneo (now called Sabah), and Sarawak joined the Malayan Federation to form the Malaysia we know today..."
What is the biggest tower in Malaysia?,https://www.statista.com/statistics/937939/malaysia-height-of-the-tallest-skyscrapers/,"Tallest skyscrapers in Malaysia in 2022, by height - Statista","Merdeka 118. 
 At 678.9 meters tall, the Merdeka 118 is currently the tallest skyscraper in Malaysia. The building has been architecturally topped out in 2022 and is slated to open in mid-2023."
What is the oldest kingdom in Malaysia?,https://en.wikipedia.org/wiki/History_of_Malaysia,History of Malaysia - Wikipedia," Between the 7th and the 13th century, much of the Malay peninsula was under the Buddhist Srivijaya empire."
What is the oldest company in Malaysia?,https://www.harrisons.com.my/history-milestones/,Our Company - Harrisons Holding (Malaysia) Berhad,"Harrisons Holdings (Malaysia) Berhad. 
 Harrisons Holdings (Malaysia) Berhad is 100 years old."
Which state in Malaysia is the oldest?,https://gempak.com/rojakdaily/news/can-you-guys-guess-which-oldest-state-malaysia-its-citizens-age-59740,Can You Guys Guess Which Is The Oldest State In Malaysia By Its ...,"The land of beansprout chicken rice and Kellie's Castle. 
 The answer to that question is - drumrolls please! - Perak! Yep, the land of beansprout chicken rice and Kellie's Castle is the 'oldest' state in Malaysia. Chief Statistician of Malaysia Datuk Seri Dr Mohd Uzir Mahidin told The Star Online that 14.9 per cent of Perak's population is aged 60 and above."
What was the first city in Malaysia?,https://en.wikipedia.org/wiki/List_of_cities_in_Malaysia,List of cities in Malaysia - Wikipedia,"George Town. 
 George Town, the capital city of Penang, was declared as a city on 1 January 1957 by Elizabeth II, Queen of the United Kingdom, making it the first city in the country, and the only city declared before Malayan independence."
Why is Besar Islands popular?,"https://www.sgmytaxi.com/pulau-besar/#:~:text=The%20water%20is%20so%20clear,seen%20from%20the%20water%20surface.&text=Due%20to%20the%20wide%20range,and%20fauna%20for%20nature%20lovers.",Pulau Besar: Awesome Island in Johor for an Exotic Beach ...,"Due to the wide range of marine life offered, the island is appointed as Marine Park to preserve them. 
 The water is so clear that even tiny sea creatures and the coral reef can be seen from the water surface. Due to the wide range of marine life offered, the island is appointed as Marine Park to preserve them. Decent tropical jungles offer numerous unique flora and fauna for nature lovers."
When to Visit Pulau Besar?,https://championtraveler.com/dates/best-time-to-visit-pulau-besar-my/,"The Best Time to Visit Pulau Besar, Malaysia for Weather, Safety ...","December, followed by March and April. 
 The busiest month for tourism in Pulau Besar, Malaysia is December, followed by March and April. Prices for hotels and flights will be most expensive during these months, though you can save if you purchase well in advance. Tourists are unlikely to visit Pulau Besar in November."
How big is Tengah Island?,https://traveltriangle.com/blog/pulau-tengah-in-malaysia/,Pulau Tengah: An Ultimate Guide To Explore An Exotic Island,"Just about 3 km in its perimeter. 
 Pulau Tengah island is just about 3 km in its perimeter but has about 10 beautiful, serene and secluded beaches. The island is well connected to its neighbouring islands as well as the mainland. Tourists have to reach the port of Mersing from where boats travel back and forth to Tengah island."
How to get to Pulau Besar from Singapore?,https://www.rome2rio.com/s/Singapore/Besar-Island,"Singapore to Besar Island - 2 ways to travel via bus, ferry, and subway","Take the bus to JB Larkin Terminal, take the bus to Mersing Jetty, take the walk to Mersing Jetty, then take the ferry to Pulau Besar. 
 There is no direct connection from Singapore to Besar Island. However, you can take the bus to JB Larkin Terminal, take the bus to Mersing Jetty, take the walk to Mersing Jetty, then take the ferry to Pulau Besar."
What is the coolest time of the year in Singapore?,https://www.lonelyplanet.com/articles/best-time-to-visit-singapore,Best time to visit Singapore - Lonely Planet,"December-January & March-May. 
 Shoulder season: December-January & March-May Although December and January can hardly be described a cold, they are (on paper at least) the coolest months of the year in Singapore as temperatures plummet to a nowhere-near-freezing 75°F (24°C), making things a more bearable for wanders and walkers."
Can I go to Pulau Rawa on December?,https://www.goislands.com.sg/best-time-to-visit-rawa-island/,Best Time To Visit Rawa Island (Includes Monthly Seasons ...,"Avoid going to Rawa Island during this month. 
 Rawa Island in December (Monsoon Season) Just avoid going to Rawa Island during this month and save yourself the disappointment!"
How long will Tengah take to build?,https://www.channelnewsasia.com/singapore/2077-hdb-flats-garden-waterfront-tengah-november-bto-launch-waiting-time-33-years-building-technologies-innovations-3089191,than 2000 new BTO flats in Tengah to have shorter waiting time of ... - CNA,"4 years or less. 
 While there have been some delays due to the impact of the COVID-19 pandemic, ""more than 70 per cent of these projects currently have a waiting time of 4 years or less,"" said HDB."
